journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
European Journal of Oncology Nursing,1462-3889,1532-2122,3.6,Q1,Q1|Q2
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,1872-6860,7.0,Q1,Q1
EUROPEAN JOURNAL OF OPHTHALMOLOGY,1120-6721,1724-6016,1.3,Q3,Q3
EUROPEAN JOURNAL OF ORAL SCIENCES,0909-8836,1600-0722,2.0,Q2,Q2
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,1434-193X,1099-0690,2.8,Q2,Q2
EUROPEAN JOURNAL OF ORTHODONTICS,0141-5387,1460-2210,4.2,Q1,Q1
European Journal of Orthopaedic Surgery and Traumatology,1633-8065,1432-1068,1.7,Q3,Q3
European Journal of Paediatric Dentistry,1591-996X,2035-648X,3.4,Q1,Q1
EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,1090-3798,1532-2130,2.9,Q1,Q1|Q2
EUROPEAN JOURNAL OF PAIN,1090-3801,1532-2149,3.8,Q1,Q1|Q2
EUROPEAN JOURNAL OF PEDIATRIC SURGERY,0939-7248,1439-359X,1.8,Q2,Q2
European Journal of Pediatric Surgery Reports,2194-7619,2194-7627,0.5,Q4,Q4
EUROPEAN JOURNAL OF PEDIATRICS,0340-6199,1432-1076,2.9,Q1,Q1
EUROPEAN JOURNAL OF PERSONALITY,0890-2070,1099-0984,4.8,Q1,Q1
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,0928-0987,1879-0720,5.1,Q1,Q1
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,0939-6411,1873-3441,5.0,Q1,Q1
European Journal of Pharmacology,0014-2999,1879-0712,5.7,Q1,Q1
EUROPEAN JOURNAL OF PHILOSOPHY,0966-8373,1468-0378,0.9,,
EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,1469-4433,2.2,Q2,Q2
European Journal of Physical and Rehabilitation Medicine,1973-9087,1973-9095,4.0,Q1,Q1
EUROPEAN JOURNAL OF PHYSICS,0143-0807,1361-6404,0.9,Q3,Q3
European Journal of Physiotherapy,2167-9169,2167-9177,1.2,Q3,Q3
EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1573-8469,2.1,Q2,Q2
EUROPEAN JOURNAL OF PLASTIC SURGERY,0930-343X,1435-0130,0.9,Q4,Q4
European Journal of Political Economy,0176-2680,1873-5703,3.0,Q1,Q1
EUROPEAN JOURNAL OF POLITICAL RESEARCH,0304-4130,1475-6765,3.9,Q1,Q1
European Journal of Political Theory,1474-8851,1741-2730,1.2,Q3,Q3
European Journal of Politics and Gender,2515-1088,2515-1096,2.5,Q1,Q1
European Journal of Population-Revue Europeenne de Demographie,0168-6577,1572-9885,3.5,Q1,Q1
European Journal of Pragmatism and American Philosophy,2036-4091,2036-4091,0.2,,
European Journal of Preventive Cardiology,2047-4873,2047-4881,10.0,Q1,Q1
European Journal of Probation,2066-2203,2066-2203,1.0,Q3,Q3
European Journal of Prosthodontics and Restorative Dentistry,0965-7452,2396-8893,1.5,Q3,Q3
EUROPEAN JOURNAL OF PROTISTOLOGY,0932-4739,1618-0429,1.9,Q4,Q4
EUROPEAN JOURNAL OF PSYCHIATRY,0213-6163,0213-6163,1.5,Q3,Q3
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,1015-5759,2151-2426,2.7,Q2,Q2
European Journal of Psychology Applied to Legal Context,1889-1861,1989-4007,6.6,Q1,Q1
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,0256-2928,1878-5174,3.0,Q2,Q2
European Journal of Psychology Open,2673-8627,2673-8627,0.9,Q3,Q3
European Journal of Psychotherapy & Counselling,1364-2537,1469-5901,1.5,Q3,Q3
European Journal of Psychotraumatology,2000-8198,2000-8066,4.2,Q1,Q1
EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,1464-360X,5.2,Q1,Q1
EUROPEAN JOURNAL OF RADIOLOGY,0720-048X,1872-7727,3.9,Q1,Q1
European Journal of Radiology Open,,2352-0477,3.5,Q2,Q2
European Journal of Remote Sensing,,2279-7254,3.9,Q2,Q2
European Journal of Rheumatology,2147-9720,2148-4279,1.5,Q3,Q3
European Journal of Risk Regulation,1867-299X,2190-8249,2.6,Q1,Q1
European Journal of Scandinavian Studies,2191-9399,2191-9402,0.2,,
European Journal of Science and Theology,1841-0464,1842-8517,0.3,,
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,0046-2772,1099-0992,2.7,Q2,Q2
European Journal of Social Security,1388-2627,2399-2948,2.2,Q2,Q2
European Journal of Social Theory,1368-4310,1461-7137,2.4,Q2,Q2
European Journal of Social Work,1369-1457,1468-2664,1.5,Q2,Q2
European Journal of Sociology-Archives Europeennes de Sociologie,0003-9756,1474-0583,1.8,Q2,Q2
EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615,3.9,Q1,Q1|Q2
EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754,1365-2389,4.3,Q2,Q2
European Journal of Special Needs Education,0885-6257,1469-591X,2.2,Q1,Q1
European Journal of Sport Science,1746-1391,1536-7290,3.0,Q2,Q2
European Journal of Sustainable Development,2239-5938,2239-6101,1.0,Q4,Q4
European Journal of Taxonomy,,2118-9773,1.5,Q2,Q2|Q3
European Journal of Teacher Education,0261-9768,1469-5928,3.3,Q1,Q1
European Journal of the History of Economic Thought,0967-2567,1469-5936,0.4,Q4,Q4
European Journal of Therapeutics,2564-7784,2564-7040,0.7,Q3,Q3
European Journal of Tourism Hospitality and Recreation,2182-4924,2182-4916,0.7,Q4,Q4
European Journal of Tourism Research,1994-7658,1314-0817,3.2,Q2,Q2
European Journal of Training and Development,2046-9012,2046-9020,2.9,Q3,Q3
European Journal of Transformation Studies,2298-0997,2298-0997,0.1,Q4,Q4
European Journal of Translational and Clinical Medicine,2657-3148,2657-3156,0.4,Q4,Q4
European Journal of Translational Myology,2037-7452,2037-7460,2.0,Q3,Q3
European Journal of Transport and Infrastructure Research,1567-7133,1567-7141,1.5,Q4,Q4
European Journal of Trauma and Emergency Surgery,1863-9933,1863-9941,2.3,Q2,Q2
European Journal of Trauma & Dissociation,2468-7499,2468-7499,1.9,Q3,Q3
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1078-5884,1532-2165,8.5,Q1,Q1
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574,1.8,Q2,Q2|Q3
EUROPEAN JOURNAL OF WOMENS STUDIES,1350-5068,1461-7420,1.7,Q2,Q2
European Journal of Wood and Wood Products,0018-3768,1436-736X,2.7,Q1,Q1|Q2
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,4.4,Q1,Q1|Q2
European Journal on Artificial Intelligence,3050-4554,3050-4546,,,
European Journal on Criminal Policy and Research,0928-1371,1572-9869,2.8,Q1,Q1
European Judaism-A Journal for the New Europe,0014-3006,1752-2323,0.1,,
European Labour Law Journal,2031-9525,2399-5556,1.1,Q2,Q2
European Law Journal,1351-5993,1468-0386,1.3,Q2,Q2
European Law Review,0307-5400,,0.6,Q2,Q2
European Legacy-Toward New Paradigms,1084-8770,1470-1316,0.2,,
European Management Journal,0263-2373,1873-5681,7.6,Q1,Q1
European Management Review,1740-4754,1740-4762,3.1,Q2,Q2
European Management Studies,,2956-7602,0.5,Q4,Q4
EUROPEAN NEUROLOGY,0014-3022,1421-9913,2.0,Q3,Q3|Q4
EUROPEAN NEUROPSYCHOPHARMACOLOGY,0924-977X,1873-7862,8.1,Q1,Q1
European Oral Research,2630-6158,2651-2823,1.4,Q3,Q3
European Physical Education Review,1356-336X,1741-2749,3.7,Q1,Q1
EUROPEAN PHYSICAL JOURNAL A,1434-6001,1434-601X,3.0,Q2,Q2
EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,1286-0042,1286-0050,1.0,Q4,Q4
EUROPEAN PHYSICAL JOURNAL B,1434-6028,1434-6036,1.9,Q3,Q3
EUROPEAN PHYSICAL JOURNAL C,1434-6044,1434-6052,4.9,Q1,Q1
EUROPEAN PHYSICAL JOURNAL D,1434-6060,1434-6079,1.8,Q3,Q3
EUROPEAN PHYSICAL JOURNAL E,1292-8941,1292-895X,2.6,Q3,Q3
European Physical Journal H,2102-6459,2102-6467,1.5,Q1,Q1|Q3
European Physical Journal Plus,2190-5444,2190-5444,2.9,Q2,Q2
European Physical Journal-Special Topics,1951-6355,1951-6401,2.5,Q2,Q2
EUROPEAN PLANNING STUDIES,0965-4313,1469-5944,3.2,Q1,Q1|Q2
European Policy Analysis,,2380-6567,3.8,Q1,Q1
European Political Science,1680-4333,1682-0983,3.6,Q1,Q1
European Political Science Review,1755-7739,1755-7747,3.4,Q1,Q1
EUROPEAN POLYMER JOURNAL,0014-3057,1873-1945,6.8,Q1,Q1
European Poultry Science,1612-9199,1612-9199,1.0,Q3,Q3
EUROPEAN PSYCHIATRY,0924-9338,1778-3585,7.9,Q1,Q1
EUROPEAN PSYCHOLOGIST,1016-9040,1878-531X,4.0,Q1,Q1
European Public Law,1354-3725,1875-8207,0.5,Q3,Q3
EUROPEAN RADIOLOGY,0938-7994,1432-1084,6.0,Q1,Q1
European Radiology Experimental,,2509-9280,4.7,Q1,Q1
European Research on Management and Business Economics,2444-8834,2444-8842,6.2,Q1,Q1
EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,23.8,Q1,Q1
European Respiratory Review,0905-9180,1600-0617,10.8,Q1,Q1
European Review,1062-7987,1474-0575,0.7,Q2,Q2
European Review of Aging and Physical Activity,1813-7253,1861-6909,4.7,Q2,Q2
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,1464-3618,5.1,Q1,Q1
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1162-9088,1162-9088,1.1,Q4,Q4
European Review of Economic History,1361-4916,1474-0044,1.2,Q1,Q1|Q3
European Review of History-Revue Europeenne d Histoire,1350-7486,1469-8293,0.5,Q1,Q1
European Review of International Studies,2196-6923,2196-7415,0.7,Q4,Q4
European Review of Private Law,0928-9801,1875-8371,0.5,Q3,Q3
European Review of Social Psychology,1046-3283,1479-277X,6.2,Q1,Q1
European Romantic Review,1050-9585,1740-4657,0.2,,
EUROPEAN SCIENCE EDITING,0258-3127,2518-3354,1.6,Q2,Q2
European Security,0966-2839,1746-1545,3.3,Q1,Q1
European Social Work Research,,2755-1768,1.1,Q3,Q3
EUROPEAN SOCIETIES,1461-6696,1469-8307,3.8,Q1,Q1
EUROPEAN SOCIOLOGICAL REVIEW,0266-7215,1468-2672,3.3,Q1,Q1
European Spatial Research and Policy,1231-1952,1896-1525,0.7,Q3,Q3
EUROPEAN SPINE JOURNAL,0940-6719,1432-0932,3.2,Q1,Q1|Q2
European Sport Management Quarterly,1618-4742,1746-031X,3.2,Q2,Q2
European Stroke Journal,2396-9873,2396-9881,5.2,Q1,Q1
European Surgery-Acta Chirurgica Austriaca,1682-8631,1682-4016,0.9,Q4,Q4
EUROPEAN SURGICAL RESEARCH,0014-312X,1421-9921,2.5,Q2,Q2
European Thyroid Journal,2235-0640,2235-0802,4.9,Q1,Q1
European Transport Research Review,1867-0717,1866-8887,5.8,Q1,Q1
European Transport-Trasporti Europei,1825-3997,1825-3997,1.1,Q4,Q4
EUROPEAN UNION POLITICS,1465-1165,1741-2757,2.3,Q2,Q2
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,1461-7145,4.1,Q1,Q1|Q2
EUROPEAN UROLOGY,0302-2838,1873-7560,29.1,Q1,Q1
European Urology Focus,,2405-4569,6.3,Q1,Q1
European Urology Oncology,,2588-9311,8.5,Q1,Q1
European Urology Open Science,2666-1691,2666-1683,4.3,Q1,Q1
European Zoological Journal,2475-0263,2475-0263,1.9,Q2,Q2
Europes Journal of Psychology,1841-0413,1841-0413,2.7,Q2,Q2
Europolity-Continuity and Change in European Governance,2344-2255,2247-7721,0.9,Q2,Q2
Eurosurveillance,1025-496X,1560-7917,8.3,Q1,Q1
Euskera,0210-1564,0210-1564,0.6,,
Evaluation,1356-3890,1461-7153,1.6,Q2,Q2
EVALUATION AND PROGRAM PLANNING,0149-7189,1873-7870,1.9,Q2,Q2
EVALUATION REVIEW,0193-841X,1552-3926,3.0,Q1,Q1
EVALUATION & THE HEALTH PROFESSIONS,0163-2787,1552-3918,1.9,Q3,Q3
EVENT MANAGEMENT,1525-9951,1943-4308,2.0,Q3,Q3
Evidence-Based Dentistry,1462-0049,1476-5446,2.9,Q2,Q2
Evidence-based HRM-A Global Forum for Empirical Scholarship,2049-3983,2049-3991,1.9,Q3,Q3
Evidence Based Library and Information Practice,1715-720X,1715-720X,1.3,Q3,Q3
Evidence & Policy,1744-2648,1744-2656,1.4,Q2,Q2
EvoDevo,,2041-9139,2.6,Q2,Q2
EVOLUTION,0014-3820,1558-5646,3.0,Q2,Q2
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607,2.9,Q1,Q1|Q2
EVOLUTION & DEVELOPMENT,1520-541X,1525-142X,2.4,Q2,Q2|Q3
Evolution Equations and Control Theory,2163-2480,2163-2480,1.2,Q1,Q1|Q2
Evolution Letters,,2056-3744,4.3,Q1,Q1
Evolution Medicine and Public Health,,2050-6201,2.7,Q2,Q2
EVOLUTION PSYCHIATRIQUE,0014-3855,1769-6674,0.1,Q4,Q4
Evolutionary and Institutional Economics Review,1349-4961,2188-2096,0.5,Q4,Q4
EVOLUTIONARY ANTHROPOLOGY,1060-1538,1520-6505,3.4,Q1,Q1
Evolutionary Applications,1752-4571,1752-4571,3.2,Q2,Q2
Evolutionary Behavioral Sciences,2330-2925,2330-2933,1.1,Q4,Q4
Evolutionary Bioinformatics,1176-9343,1176-9343,1.6,Q3,Q3|Q4
Evolutionary Biology,0071-3260,1934-2845,2.6,Q2,Q2
EVOLUTIONARY COMPUTATION,1063-6560,1530-9304,4.1,Q1,Q1|Q2
EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,2.0,Q3,Q3
Evolutionary Human Sciences,,2513-843X,2.1,Q1,Q1|Q3
Evolutionary Intelligence,1864-5909,1864-5917,4.6,Q2,Q2
Evolutionary Psychological Science,,2198-9885,1.2,Q3,Q3
Evolutionary Psychology,1474-7049,1474-7049,1.4,Q4,Q4
Evolving Systems,1868-6478,1868-6486,3.7,Q2,Q2
Ewha Medical Journal,2234-3180,2234-2591,0.9,Q3,Q3
Examples and Counterexamples,,2666-657X,0.6,Q3,Q3|Q4
EXCEPTIONAL CHILDREN,0014-4029,2163-5560,3.8,Q1,Q1
Exceptionality,0936-2835,1532-7035,1.9,Q2,Q2
Exchange-Journal of Contemporary Christianities in Context,0166-2740,1572-543X,0.3,,
EXCLI Journal,1611-2156,1611-2156,6.2,Q1,Q1
Exemplaria Classica,1699-3225,2173-6839,<0.1,,
Exemplaria-Medieval Early Modern Theory,1041-2573,1753-3074,0.2,,
Exercer-La Revue Francophone de Medecine Generale,0998-3953,1961-9138,0.2,Q4,Q4
EXERCISE AND SPORT SCIENCES REVIEWS,0091-6331,1538-3008,5.2,Q1,Q1
EXERCISE IMMUNOLOGY REVIEW,1077-5552,1077-5552,4.6,Q1,Q1|Q2
Experimed,,2667-5846,0.3,Q4,Q4
Experiment-A Journal of Russian Culture,1084-4945,2211-730X,0.1,,
EXPERIMENTAL AGING RESEARCH,0361-073X,1096-4657,1.5,Q3,Q3|Q4
EXPERIMENTAL AGRICULTURE,0014-4797,1469-4441,2.6,Q2,Q2
EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1572-9702,2.2,Q1,Q1
EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,0947-7349,1439-3646,1.8,Q4,Q4
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,1.6,Q3,Q3|Q4
Experimental and Clinical Transplantation,1304-0855,2146-8427,0.7,Q4,Q4
Experimental and Computational Multiphase Flow,2661-8869,2661-8877,7.3,Q1,Q1
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,17.5,Q1,Q1
EXPERIMENTAL AND MOLECULAR PATHOLOGY,0014-4800,1096-0945,4.1,Q1,Q1
Experimental and Therapeutic Medicine,1792-0981,1792-1015,2.2,Q3,Q3
EXPERIMENTAL ANIMALS,1341-1357,1881-7122,2.0,Q1,Q1|Q2
EXPERIMENTAL ASTRONOMY,0922-6435,1572-9508,2.9,Q2,Q2
EXPERIMENTAL BIOLOGY AND MEDICINE,1535-3702,1535-3699,3.8,Q2,Q2
EXPERIMENTAL BRAIN RESEARCH,0014-4819,1432-1106,2.1,Q3,Q3
EXPERIMENTAL CELL RESEARCH,0014-4827,1090-2422,3.5,Q2,Q2|Q3
EXPERIMENTAL DERMATOLOGY,0906-6705,1600-0625,3.4,Q2,Q2
EXPERIMENTAL ECONOMICS,1386-4157,1573-6938,1.7,Q2,Q2
EXPERIMENTAL EYE RESEARCH,0014-4835,1096-0007,3.1,Q2,Q2
EXPERIMENTAL GERONTOLOGY,0531-5565,1873-6815,5.1,Q1,Q1
EXPERIMENTAL HEAT TRANSFER,0891-6152,1521-0480,3.1,Q2,Q2
EXPERIMENTAL HEMATOLOGY,0301-472X,1873-2399,2.7,Q2,Q2|Q3
Experimental Hematology & Oncology,,2162-3619,17.5,Q1,Q1
EXPERIMENTAL LUNG RESEARCH,0190-2148,1521-0499,1.9,Q3,Q3
EXPERIMENTAL MATHEMATICS,1058-6458,1944-950X,0.5,Q3,Q3
EXPERIMENTAL MECHANICS,0014-4851,1741-2765,2.9,Q2,Q2|Q3
Experimental Neurobiology,1226-2560,2093-8144,2.4,Q3,Q3
EXPERIMENTAL NEUROLOGY,0014-4886,1090-2430,4.8,Q1,Q1
EXPERIMENTAL PARASITOLOGY,0014-4894,1090-2449,1.8,Q3,Q3
EXPERIMENTAL PHYSIOLOGY,0958-0670,1469-445X,3.0,Q2,Q2
EXPERIMENTAL PSYCHOLOGY,1618-3169,2190-5142,1.3,Q4,Q4
EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,1.8,Q3,Q3
EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777,1879-2286,3.5,Q1,Q1|Q2
EXPERIMENTS IN FLUIDS,0723-4864,1432-1114,2.7,Q2,Q2
EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682,4.0,Q2,Q2
Expert Opinion on Drug Delivery,1742-5247,1744-7593,6.0,Q1,Q1
Expert Opinion on Drug Discovery,1746-0441,1746-045X,7.3,Q1,Q1
Expert Opinion on Drug Metabolism & Toxicology,1742-5255,1744-7607,4.5,Q1,Q1|Q2
Expert Opinion On Drug Safety,1474-0338,1744-764X,3.0,Q2,Q2
EXPERT OPINION ON EMERGING DRUGS,1472-8214,1744-7623,3.8,Q2,Q2
EXPERT OPINION ON INVESTIGATIONAL DRUGS,1354-3784,1744-7658,4.3,Q2,Q2
EXPERT OPINION ON PHARMACOTHERAPY,1465-6566,1744-7666,3.4,Q2,Q2
EXPERT OPINION ON THERAPEUTIC PATENTS,1354-3776,1744-7674,4.7,Q1,Q1|Q2
EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,1744-7631,5.1,Q1,Q1
Expert Review of Anti-Infective Therapy,1478-7210,1744-8336,4.6,Q1,Q1|Q2
Expert Review of Anticancer Therapy,1473-7140,1744-8328,3.0,Q3,Q3
Expert Review of Cardiovascular Therapy,1477-9072,1744-8344,2.5,Q2,Q2
Expert Review of Clinical Immunology,1744-666X,1744-8409,4.0,Q2,Q2
Expert Review of Clinical Pharmacology,1751-2433,1751-2441,3.6,Q2,Q2
Expert Review of Endocrinology & Metabolism,1744-6651,1744-8417,2.9,Q3,Q3
Expert Review of Gastroenterology & Hepatology,1747-4124,1747-4132,3.3,Q2,Q2
Expert Review of Hematology,1747-4086,1747-4094,2.8,Q2,Q2
Expert Review of Medical Devices,1743-4440,1745-2422,2.8,Q3,Q3
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159,1744-8352,4.3,Q1,Q1
Expert Review of Neurotherapeutics,1473-7175,1744-8360,4.3,Q1,Q1|Q2
Expert Review of Ophthalmology,1746-9899,1746-9902,1.2,Q4,Q4
Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,2.2,Q3,Q3
Expert Review of Precision Medicine and Drug Development,2380-8993,2380-8993,1.5,Q4,Q4
Expert Review of Proteomics,1478-9450,1744-8387,2.9,Q2,Q2
Expert Review of Respiratory Medicine,1747-6348,1747-6356,3.3,Q2,Q2
Expert Review of Vaccines,1476-0584,1744-8395,5.6,Q1,Q1
EXPERT REVIEWS IN MOLECULAR MEDICINE,1462-3994,1462-3994,6.5,Q1,Q1
EXPERT SYSTEMS,0266-4720,1468-0394,3.4,Q2,Q2|Q3
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,9.4,Q1,Q1
EXPLICATOR,0014-4940,1939-926X,0.1,,
Exploration,2766-8509,2766-2098,30.4,Q1,Q1
Exploration Geophysics,0812-3985,1834-7533,0.8,Q4,Q4
EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,2.0,Q1,Q1|Q2
Explorations in Renaissance Culture,0098-2474,2352-6963,0.1,,
Exploratory Research in Clinical and Social Pharmacy,,2667-2766,2.6,Q3,Q3
Explore-The Journal of Science and Healing,1550-8307,1878-7541,2.4,Q2,Q2
EXPOSITIONES MATHEMATICAE,0723-0869,1878-0792,0.8,Q2,Q2
EXPOSITORY TIMES,0014-5246,1745-5308,0.1,,
Exposure and Health,2451-9766,2451-9685,3.5,Q2,Q2
Express Polymer Letters,1788-618X,1788-618X,2.4,Q3,Q3
Expressions maghrebines,1540-0085,2475-2401,0.4,,
Extracellular Vesicles and Circulating Nucleic Acids,,2767-6641,8.5,Q1,Q1
Extractive Industries and Society,2214-790X,2214-7918,4.5,Q2,Q2
EXTRAPOLATION,0014-5483,2047-7708,0.2,,
Extreme Mechanics Letters,2352-4316,2352-4316,4.5,Q1,Q1|Q2
Extremes,1386-1999,1572-915X,1.9,Q1,Q1|Q2
EXTREMOPHILES,1431-0651,1433-4909,2.2,Q4,Q4
EYE,0950-222X,1476-5454,4.4,Q1,Q1
Eye and Brain,1179-2744,1179-2744,3.9,Q1,Q1
Eye and Vision,,2326-0254,5.2,Q1,Q1
Eye & Contact Lens-Science and Clinical Practice,1542-2321,1542-233X,2.2,Q2,Q2
Ezhegodnik Finno-Ugorskikh Issledovanii-Yearbook of Finno-Ugric Studies,2224-9443,2311-0333,0.2,,
F&S Reports,,2666-3341,2.6,Q2,Q2
F&S Reviews,,2666-5719,2.8,Q2,Q2
F&S Science,,2666-335X,1.9,Q3,Q3|Q4
F Scott Fitzgerald Review,1543-3951,1755-6333,<0.1,,
Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,1033-1867,2164-4756,0.3,,
FABULA,0014-6242,1613-0464,0.3,,
FACE,2732-5016,2732-5016,0.8,Q4,Q4
Facets,2371-1671,2371-1671,2.7,Q2,Q2
Fachsprache-Journal of Professional and Scientific Communication,1017-3285,2523-9201,0.4,,
FACIAL PLASTIC SURGERY,0736-6825,1098-8793,1.5,Q3,Q3
Facial Plastic Surgery & Aesthetic Medicine,2689-3614,2689-3622,1.8,Q2,Q2
Facial Plastic Surgery Clinics of North America,1064-7406,1558-1926,1.9,Q2,Q2
FACIES,0172-9179,1612-4820,1.9,Q2,Q2
Facilities,0263-2772,1758-7131,2.2,Q3,Q3
Facta Universitatis-Series Electronics and Energetics,0353-3670,2217-5997,0.9,Q4,Q4
Facta Universitatis-Series Mathematics and Informatics,0352-9665,2406-047X,0.3,Q4,Q4
Facta Universitatis-Series Mechanical Engineering,0354-2025,2335-0164,10.9,Q1,Q1
Facts Views and Vision in ObGyn,2032-0418,2684-4230,1.5,Q3,Q3
Faith and Philosophy,0739-7046,2153-3393,0.4,,
Familial Cancer,1389-9600,1573-7292,2.1,Q3,Q3
Families In Society-The Journal of Contemporary Social Services,1044-3894,1945-1350,1.3,Q2,Q2|Q3
Families Relationships and Societies,2046-7435,2046-7443,1.5,Q2,Q2
Families Systems & Health,1091-7527,1939-0602,1.2,Q3,Q3|Q4
Family Business Review,0894-4865,1741-6248,7.7,Q1,Q1
FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,1.4,Q2,Q2|Q4
FAMILY & COMMUNITY HISTORY,1463-1180,1751-3812,0.3,Q2,Q2
Family & Consumer Sciences Research Journal,1077-727X,1552-3934,1.2,Q3,Q3
Family Court Review,1531-2445,1744-1617,0.7,Q2,Q2|Q4
Family Journal,1066-4807,1552-3950,1.1,Q3,Q3
FAMILY MEDICINE,0742-3225,1938-3800,2.0,Q2,Q2
Family Medicine and Community Health,2305-6983,2009-8774,4.5,Q1,Q1
Family Medicine and Primary Care Review,1734-3402,2449-8580,0.3,Q4,Q4
FAMILY PRACTICE,0263-2136,1460-2229,1.9,Q2,Q2|Q3
FAMILY PROCESS,0014-7370,1545-5300,2.2,Q1,Q1|Q2
FAMILY RELATIONS,0197-6664,1741-3729,2.0,Q1,Q1|Q2
FARADAY DISCUSSIONS,1359-6640,1364-5498,3.8,Q2,Q2
Farmaceuticos Comunitarios,1885-8619,2173-9218,0.7,Q4,Q4
FARMACIA,0014-8237,2065-0019,1.6,Q4,Q4
FARMACIA HOSPITALARIA,1130-6343,2171-8695,1.7,Q3,Q3
Farmeconomia-Health Economics and Therapeutic Pathways,1721-6915,2240-256X,<0.1,Q4,Q4
Farming System,,2949-9119,9.3,Q1,Q1
Fascism,2211-6249,2211-6257,1.5,,
FASEB BioAdvances,,2573-9832,2.4,Q3,Q3|Q4
FASEB JOURNAL,0892-6638,1530-6860,4.3,Q1,Q1|Q2
Fashion and Textiles,2198-0802,2198-0802,3.7,Q2,Q2
Fashion Practice-The Journal of Design Creative Process & the Fashion Industry,1756-9370,1756-9389,1.1,,
Fashion Style & Popular Culture,2050-0726,2050-0734,0.6,,
Fashion Theory-The Journal of Dress Body & Culture,1362-704X,1751-7419,0.9,,
Fat Studies-An Interdisciplinary Journal of Body Weight and Society,2160-4851,2160-486X,2.0,Q1,Q1
Fatigue-Biomedicine Health and Behavior,2164-1846,2164-1862,1.4,Q4,Q4
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,8756-758X,1460-2695,3.2,Q2,Q2|Q3
FDMP-Fluid Dynamics & Materials Processing,1555-256X,1555-2578,1.3,Q4,Q4
FEBS Journal,1742-464X,1742-4658,4.2,Q2,Q2
FEBS LETTERS,0014-5793,1873-3468,3.1,Q2,Q2|Q3
FEBS Open Bio,2211-5463,2211-5463,2.7,Q3,Q3
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,0014-9187,2163-4505,1.0,Q3,Q3
FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,2.2,Q1,Q1|Q2
Feminismo-s,,1989-9998,0.3,Q4,Q4
Feminist Africa,1726-4596,1726-4596,0.7,Q3,Q3
Feminist Anthropology,2643-7961,2643-7961,1.6,Q2,Q2
Feminist Criminology,1557-0851,1557-086X,2.0,Q1,Q1
FEMINIST ECONOMICS,1354-5701,1466-4372,2.0,Q2,Q2
Feminist German Studies,2578-5206,2578-5192,<0.1,Q4,Q4
Feminist Legal Studies,0966-3622,1572-8455,2.4,Q1,Q1
Feminist Media Histories,,2373-7492,0.3,Q4,Q4
Feminist Media Studies,1468-0777,1471-5902,2.1,Q1,Q1|Q2
FEMINIST REVIEW,0141-7789,1466-4380,1.6,Q2,Q2
Feminist Theology,0966-7350,1745-5189,0.4,,
Feminist Theory,1464-7001,1741-2773,1.1,Q3,Q3
